0x257d63edad,set_gd13_gdsp_ryukonoken_ver230000000
0x146f3b61f7,set_gd14_gd3_bigshot
0x18302335bd,set_gd16_gdwa_11thstreet
0x118a7e9fe0,set_gd17_kof94_ne
0x2036c71368,set_gd18_kof96_arashinosaxophone
0x120064f992,set_gd20_kof99_ww3
0x1a8659a02b,set_gd21_kof99_176thstreet
0x174304cad2,set_gd22_kof00_terry115
0x1b1b8ff9a5,set_gd23_kofxi_streetdancer
0x1602228d52,set_gd24_kof02um_esaka
0x1e8c923405,set_gd25_kof02um_desertrequiem
0x1bf195dc3e,set_gd26_kof02um_kd0079plus
0x1b9102e88c,set_gd27_kof02um_undercover
0x1c5f60dbbd,set_gd28_kof02um_cuttingedge
0x1fe6d99cdd,set_gd29_kofxiii_thesecondjoker
0x1f3ba48e60,set_gd30_kofxiii_esakacontinues
0x1b93eb978f,set_gd31_kofxiii_wildstreet
0x1cbafed8b1,set_gd32_kofxiii_tameabadboy
0x1859a14b71,set_gd33_kofxiii_kdd0063
0x1c93846cf9,set_gd34_kofxiv_yappariesaka
0x281d1c8cde,set_gd35_kofxiv_departure_from_southtown
0x23ea12750d,set_gd36_kofiv_geesenishouyu_xivver
0x1ca4c8cf73,set_gd37_kofxiv_ikari_xivver
0x1ff82b0498,set_gd38_kofxiv_neworder_xivver
0x17bb8219f2,set_gd39_aso_themeofsyd
0x184b8bddc1,set_gd40_atn_morinosekai
0x221009d602,set_gd41_psy_psychosoldiertheme_jp
